text,target
الله يبار ليا فيك و يفرح قبلك حبيبة,1
يبار ليا في عمرك يا رب,1
امين عقبلة لعندك غاليتي,1
امين و لكم ايضا شكرا حبيبة,1
الله يبارك فيك حبيبة,1
تمام غاليتي ,1
لنا في امهاتنا المؤمنات قدوة و مثال و ليس خيال,1
عارفة للي كاين خويا بغيت نضحك شوية مشكل تويتر ماكينش مجال لتصحيح الاخطاء الإملائية,1
اقل واجب اننا نتمناو الخير لبعضنا اخي الفاضل ان شاء الله مسيرة موفقة على جميع الاصعدة ,1
تنضحك معك الباربا غتزيد لك للي بقا ,1
الله يطول في عمري الى واخلص عليهم كلهم واحد واحد ,1
خليني ساكتة حسن مزمرات ماش معصومات,0
ربي يعزك و ينورك و ينصرك خويا لعزيز,1
ختك انا احبيبة ,1
القادم اجمل بإذن الله الله يجيب غير الصحة و السلامة,1
الله ياخد فيهم الحق ,0
ماتخافيش حبوبة نحن النساء رحيمات ب بعضنا ,1
زيادة من الراس لحمق,0
حصل خير اعتذر من بنت بلادك و خل عقلك كبير بنت بلادك هي اختك و امك و بنتك و حبيبتك ,1
وا تا سير حشم على رجولتك,0
عن اي قمة اقتصادية يتحدثون الله يلعن للي ما يحشم,0
يخليلي انا الغالية ,1
العرب اخوة دا حلمنا طول عمرنا ,1
يشرفني طبعا لكن اني مغربية بس لنا صلة رحم معهم,1
 سلامتك احبيبة الله يبعد عليك كل شر يليق بعينك ان تلمع من جديد ,1
دائما المغرب تيقصف ولاد فرنسا ,0
عنده غير الوقاحة و كلام موسخ بحال وج,0
الله يكون معه,1
طيب على العين و الراس غاليتي,1
يزين ايامك غاليتي ,1
في الميراث ماخوها ما خته كلها خو راسه ,0
يخليلي انا الغاليبن على قلبي ,1
وقع لي نفس الشي مع ناس عزاز على قلبي ولكن لم أستسلم,1
مغربي ولد بلادي و السوري من عائلتي,1
نعم صحيح طيبة مثل هؤلاء الشرفاء هي المعنى الحقيقي لمبادي معاقل الاسلام الذي تحدث عنها السافل المنحط,1
المشكلة حطيت تغريدة منقولة ليس فيها اساءة له و لا لاهله و لا لبلده و ليس عنده سبب أو مبرر لهجومه عليا و دخل يغلط لله في لله حتى مافهمت علاش,0
الله يكتب علينا مكاتب الخير,1
غير غير بشوية عليك لا زربة على صلاح ,1
كلها ي ديال المغرب الحبيب ,1
تلقاي الخير غاليتي,1
بإذن الله حبيبة باقي الاماتة ديال العمرة تتسناك ,1
نخاف ما نحشم ,1
الله يبلغها كل متمنياتها و يحقق احلامها يا رب,1
شهيتيني في النقيش و الحنة أختي,1
أهو دي الرومانسية و لا بلاش ,1
اودي راه غير تنعديو اما الحالة صعيبة للأسف,0
مالكوم اليوم كلشي طالع ليه الدم ,0
كلها و البلية ديالو احبيبة غير الله يعفو علينا ,1
ما تيقتلني غير واحد جالس يتفرج في ماتش ديال الكرة كرشو سبقاه باسبوع و ينعت لاعب بحمار لانه ضيع هدف حيد ديك لكرش عندك و سير ماركي بلاصتو ,0
بجوج مكلخين ,0
فادي خويا لعزيز يجمع الله مع احبابك و الغاليين على قلبك يا رب ,1
حبيبة قلبي نتي تستاهلي الجنة و نعيمها غاليتي,1
امونة عروستنا تستاهلي السعادة و الهنا حبوبة ,1
للي ما يحب المغربية يبعث له حمى ,0
هذا من اصلك الطيب و معدنك الصافي اخي الكريم,1
يتمم ليك الخير و لهنا خويا فادي ,1
يخليلي انا حنونتي ,1
غمورتونا بطيبكم و ذوقكم الرفيع انتم منبع الكرم و المعدن الصافي حماكم الله و نصركم على من عاداكم و ايدكم بنصره و عزته ,1
تربايتك نوني كل كلماتك من بيض النوايا من يلوم الارض لا حبت ظلالك ,1
ربي يحفظك ياسين اخ عزيز و غالي ,1
انا و الله حتى ضريفة خويا ياسين ,1
مودتي و محبتي لكي ,1
امين حبيبة الله يرحم اموات المسلمين اجمعين,1
متنمياتي لك بالسعادة خويا عاطف,1
هو على العين و الراس و مكانه عالي و محفوظ بين اخوتي الاعزاء لتصحيح نظرك ,1
 الله يغبر ليه الشقف ,0
 اودي نعل الشيطان ,1
 خل املك في الله كبير ,1
لكي مودتي غاليتي ,1
اللهم صل و سلم و بارك على الحبيب المصطفى,1
يا ربي يجيب للي يفهمنا ما يعطونا والو هضرنا ردوني داعشية,0
انا من النوع للي ماتنبغي حتى حاجة تنقص من بلادي او تهينها عتبرني معاقة عقليا و لكن هذه حقيقتي بلادي زوينة و فيها من الخير الكثير,1
يعطيك الصحة حبيبة ,1
صافي خلات على مراكش غدا نسمعو كوارث طبيعية,0
عندو قلب و قلبه زوين,1
ا الله اودي الى مارقت لبا صطوف لمن تروق ,1
مالي تنسعى في سيدي بولقنادل و الله تسمعك أمينة حتى تشوفك النجوم في عز الظهر أسكع ,0
 طاح الضيم على ناس تويتر كلهم الا المقصود داير فيها ماحاضرش ,0
قبل كل شيى انتي فخر للمغرب و بعد كل شيئ تستحقين سعادة العالم ,1
ان شاء الله تولد بحاله ,1
الله يفكرنا في الشهادة ,1
مساءك راقي ك رقي مرويك,1
علاش تتعاير,0
آلله ينصره على اعداؤه فينما كانو,1
سوف افعل غاليتي صافي حطيت عقلي في راسي و ان شاء الله خير ,1
صدقي درهم و نويه لله يحسب عليك كل بأس,1
يخليلي لحشمان انا ,1
يسلمك ليا و يخليك ليا ابابا لعزبز ,1
ربي يخليك يا مكنون الدفئ و الحنان ,1
الله يضويها عليك و عليها,1
الله يديم عزك حنونة ,1
 زوينة عندك كلمة ولو دخيل اهل الشام انا ,1
الله يخليك,1
امين بركتي ليلتي الغالية ,1
امين العقبة ليك يا رب,1
ترفع اخويا و ماتخليش الاعداء ياخدو علينا ممسك راك فاهم ,1
وصل خويا لعزبز تحياتي لك يا طيب ,1
 تنعرفك اطيب خلق الله مادرتيهاش بلعاني اوا لغي الحضر عنها عافا خويا زوين ,1
عندي يقين بذلك و الحمد لله شكرا احبيبة على كلامك الطيب ,1
من غير ما تشرحي ليا احبيبة انا عارفة بانك لم تسيئ لهدا الانسان و اعرف انكي لا تعرفينه هو سوء ظن وسوء فهم حصل و لا رد لقضاء الله و الصراحة ليا نصيب في ما حصل و انا اعتدر للجميع,1
امين و اياك يا الفرتوتة ديالي,1
بعد الله سبحانه حيا الله اصلك و معدنك خويا ماعنديش شك في شهامتك ربي يحفظك,1
يخليلي انا لخواتات لحبابات الغاليين ,1
ربي يخليك حبية حتى الله يسعدك و يهنئ قلبك,1
اتمنى لك التوفيق في مسيرة حياتك يا غالية مازال ما دخلت نشوفها ربي يسهل عليك كل ما صعب,1
اتنمى لكي حياة اسعد حبوبة شكرا لمتمنياتك الطيبة ك طيبة روحك النقية اسعدتيني و نورتيني غاليتي,1
رضينا بالله و بالقدر بغيت نعرف فين تتغبري اختي يومك جميل ان شاء الله و حظك اجمل باذن الله غاليتي,1
الله يلعن بوها شهية ,0
 ما قصرتيش يعطيك الصحة ,1
يزين ايامك حبوبتي,1
ختي امينة انا غير تنمزح مع الأخ مراد اسفة و اعتدر اذا زعجك تعليقي الله يسعدكم,1
عرفت غير كنضحك حيث كتشبه ليها,1
 خليكم فصباغتكم الله يرحم الوالدين باش نعرفوكم راه كلشي تبدل,1
عندي معاك ذكريات الحماق صافي,1
أختي واخا وجهي قاصح كنحشم,1
يخليك ليلي الله يكبر بك ,1
على سلامتك انشاء الله تكوني بخير ,1
فواحد الوقت حيث لا ينفع الندم,0
بكاني هاد الليلة نقطة ضعفي رجال كبار يبكيو يلعن بو الفلوس ويلعن بو الخارج اللي غيخليك تنسا والديك غاتندم أقسم بالله غتندم ضرني فقلبي ,0
الاعتذار يزيدو فراسو لهلا يسعدو,0
حيث المعقول هو المعقول الصبر ,1
والله حتى زوين مرة مرة نتجمعو ونضربو الدنيا بركلة,1
يسلم عليك الخير والربح,1
 عوجيين ولكن زوينين,1
مادام دارو معاك هادشي إلا وحتى نتوما الله يعمرها دار,1
مزال الخير ,1
حشومة نسبق الأحداث بالتوفيق لحسنية اكادير,1
مبروك وألف مبروك يتربى فعزك,1
 الله يخليكم لبعض,1
هادي زوينة ,1
فيما مشيتو مرونينها,0
الينايريون الرائعون ,1
حتى نتا عيد ميلاد سعيد واخا جات معطلة,1
على أساس أنا عندي راه غير سنطيحة وصاف,1
حسبنا الله ونعم الوكيل مع من عايشين,0
الله يشافيها ويعافيها يارب,1
عيد ميلاد سعيد كل عام وأنت بألف خير الله يشافيك ويعافيك يارب توحشناك,1
آمين والله يرحم الوالد ويجعل مثواه الجنة ,1
هما اللي خاسرين فجميع النواحي ,0
شكرا خويا على دعواتك الله يحفظك ويخلي ليك ماعز عليك,1
الله يرحم والدك ويرزقه فسيح جناته,1
منو عداد مابغاوش يتفهمو ليا,0
على سلامتك عزيزتي إنشاء الله اكونوا أمورك بخير وعلى خير ,1
معمرهم غايفهموا هادشي مادام كاينة فئة كتعتبر راسها حسن من الكل,0
الله يبارك فيك احساس زوين بزااف ,1
الله يجيبو على خير ,1
الله يسمح ليك ,1
صباح الورد سي براهيم,1
و درهم و لكن على العموم و الله ايلا مزيان,1
أختي توحشتك وتوحشت ايام زمان,1
عجبوني صراحة مبدع واصل,1
الحافيظي كيعطي الذهب,1
باقي مبغى يحشم,0
كملوا يعطيكم الصحة,1
اوا راه ضروري خاصك تزعم باش تقاد شوية الفرقة,1
سير عالله خليها كما هي,1
احلى كوبل في تاريخ الدراما التركية ,1
برافو تصدرنا ب اكثر من الف تغريدة جيش سهلاوي القوي يعطيكم الصحة ,1
مبروك علينا و هذي البداية و مزال مازال ,1
غادي نخلي ليك رقم الهاتف لمزيد من المعلومات فالخاص و شكرا على التجاوب ديالك,1
هذا هو التقرير اللي يخلي المغرب يسحب السفير من السعودية كانشوفها غير سبة وصافي اما التقرير مافيه والوا,0
الله يبدل المحبة بالصبر و إنا لله و إنا إليه راجعون,1
قلبي وجعني اين مثل هاذي الرجال اين ياناس انفخت قلبي على الصباح,0
الدراري المسامحة ,1
في غادي نفرحوا بيها ان شاء الله,1
كاين ناس بهذ العقلية عايشين معانا اول مرة نشوفهم تصدمت,0
الله يحفظهالك ويخليكم لبعض,1
 المغاربة عزيز عليهم التبرگيگ اما الأمراض و الفيروسات ف أهل الاختصاص هوما العشابة و فتيحة الشوافة ,0
اسكت لا نورولك ارشيفك القذر انت عار علئ الاعلام ما فهمتش واش هي مهنتك بالضبط اعلامي,0
الحمد لله على كل حال يا اختي الدرة اخرتها موت,1
اغنية واعرة,1
العلاقة المريحة يوم تتكلم بعفوية مع الشخص بدون أخذ الاحتياطات بأن هالشيء عادي أقوله أو لا,1
كاين زياش فيه لبراكة ,1
بدأنا فصل جديد وبدات آمالنا واحلامنا فياربي حقق ما تراه خيرا لنا في ديننا ودنيانا وأخرتنا,1
 الله يرحمك كنت طيب وابن حلال يوم عيد الحب انزل نعي في جريده عكاظ عشان حييباتك يعرفو,1
ياه زوين و مافيهش المواج ,1
اودي ماتخليو حد يجمع الحسنات,1
الله يستر ,1
يموت عدوك و لي مايبغيك,1
الصحراء في مغربها و المغرب في صحرائه انتهى الكلام يا بوزباليو مرتزقة,0
و لي ما عجباتو الاوضاع يرحل,0
اعرف غي ضحكت معاك مستشارتي ,1
هكذا نبغيك ,1
الله يسلمك السي رشيد,1
عارف لي كاين ,1
صباحكم مبروك لالة,1
سير تنعس الله يتبعك لبلا,0
بخير الحمد لله سيد الحاج ,1
قريبا ان شاء الله فالعاصمة عزيزة على قلبي ,1
اجي مرحبا بيك ,1
العفو اخويا العزبز,1
الله يسخر ليك يا حبيبي ,1
السلام وعليكم أمين رغيب بغيت نشكرك بزاف على الفيديوهات لي كاتلوح ديما وتوحشناك تلوح شي حاجة خرى,1
إن شاء الله لن يخيب آمالي ويكون عند حسن ظني بيه الي عمرو مابخيب فيه ابدا,1
تاريخو أكيد ماهو مشرف,0
شكراا لحبيبة ديالي ,1
ماتبقاوش تسولوني بزاف اسئلة ما عندها معنى,0
بالطبع واخدينها ولكن غير باللسان شي أخر لانعرفه هدا هو التخلف بعينيه,0
مراكش عطاتني بزاف عوضاتني على بزاف كنت ضيعتهم مراكش وقتما تنجي ليها تنحس براسي فمدينتي,1
و دابا انا فخور بنفسي و متأكد ان الوالد غيكون فخور بيا الشكر موصول للجميع و خصوصا ,1
المهم من هادشي احبكم بلزاف بلزاف يا مغردين ,1
اخيرا غنعس مرتاح بعد سنوات طويلة من الصبر ,1
الله يرحم ليكم الوالدين جميعا ,1
لله يجيب لي يقول الحق,1
تمتع و شوف اخواتك الحلوات ,1
و الله سهيلة حالة صعبة,1
لالا راني متاكدة ماراهاش تخرج عندي حبي,1
الله يسلمك من كل سوء وشر انت اهلك يا قلبي,1
رئيس مقعد مريض لا يستطيع التحرك و الكلام لم يقدم خطاب للشعب منذ ما يقرب الخمس سنوات و الشعب يخشاه و يرتعش منه,0
ماننساش الصحراء حيت فيها دوزت أجمل أيام العطلة,1
دقيقة صمت حبايبي,1
كانت حلقة خفيفة ضريفة جميلة فيها كمية حلاوة وجمال الجميع ابدعو الصراحة بانتظار باقي الحلقات ,1
رئيس مشلول وشعب مذلول,0
برافو فخر المغرب والعرب,1
الله يعفو عليك تولي تحتارم حرفتك,0
 يارب اكون بحلم ماشفت بعيني,1
ا مالك على السيدة حشومة قرا اشنو كتبت بشوية لم تقلل من شأن المغرب,1
ماشي مشكل مقبولة على راسي,1
الله يسمح لينا منهم,1
اودي صافي وصلات ليهم للعظم هربات عليكم ببزاف,0
صباح النور الحمد لله مكاينش ,1
آخر الزمان هو هذا,0
على الأقل ارسنال وصلات للفينال,1
ان شاء الله يا ربي هي داخلة للتجارة و التسيير,1
عيد ميلاد سعيد ختيتوا الصغيرة,1
عندنا بالمغرب و الجهل عار و ليس ظلام,0
ها التعصب بدا,0
شبعت ضحك ملي شفتها مكاينش شي لاعب في التاريخ ما زكلش بينالتي إلا واحد و هو لي معمرو تارو,1
صباح النور صافي غا نولي نغرد غي على كرة باش نوصل لهاد كمية تفاعل ديما,1
التحكيم الاسباني أحسن من تحكيم الدوري المغربي بدرجة وحدة,1
الله يعاونك عليها,1
القصة جاتني عادي و لكن لي ضحكني هو ديك الجملة ديال شرح المفردات,1
هانتي استفدتي شي حاجة هاد الليلة ,1
الله يحفظاك,1
الحمد لله غاندوزو بالحب كيف ديما,1
لكن كتقال بالضحك فحال بزاف ديال الحوايج,1
معمرني شفت العنصرية في المغرب بسباب اللون,1
الله يرحموا,1
الله يهدي مخلق,1
أخبث خلق الله هادي عارفينها كاملين لكن علاش تقدموا علينا بخطوات,0
أول واحد غا نبلوكيه هو هاد السيد مكيعرفش يناقش كتشدوا من هنا كيجبد ليه حوايج اخرين كتحول معاه فيهم كيبدل ثاني,0
هاد الميساج حتى هو واعر,1
حتى العربية لي كيهضر بيها زوينة,1
التحكيم المصري لا علاقة و الدليل اعتماد الإتحاد المصري على الحكام الأجانب,0
صراحة معنيديش مع الكرة المغربية,0
كنا مغاربة و بقينا مغاربة و غا نبقاو مغربة و إن الفرج لقريب,1
أكره التفاصيل,0
الحمد لله معرفهاش,1
كنتكلمو على أثمنة خيالية على فكرة حتى المستوى ديال التعليم الخصوصي في بعض المدارس هابط,0
الله يجيب شيفا,1
البطولة الوطنية مسواها ضعيف و ممل للغاية,0
الله يعفو,1
واييه راه حتى أنا داك شي لي بغيت نقول,1
الحمد لله هاد القنوات ديال السعودية كينقلو الدوريات الكبرى,1
الحمد لله دارت معايا مزيان قالت ليا تقاد حتى تقاديت عاد صورات بنت الناس الله يعمرها دار,1
العفو رائع هذا د نسيم الحداد,1
يا ربي آمين و حتى أنا معاك,1
لي مبغاش يتفهم ليا هو علاش بنادم كيضرب طريق ديال بالصح باش يوصل أوروبا و في اللخر يبدأ يسرق و يبيع في داك شي و في آخر يرجعوه البلاد و يقول ليك ظلموني,0
مزال ما واعينش,0
أه الصبر والله,1
أكيد نهار لي نتعلموا فيه النقاش كن أكيد غادين نخرجو من الأزمة الفكرية لي ولات عندنا,0
بعض المرات كنبدا نقرأ في التعليقات و التغريدات ديال ولاد و بنات بلادي كنبغي نشير بتيليفون لهاد الدرجة مستوى ديالنا نزل ,0
أنا كنتعقد من هاد شي شيء لا يستحق النقاش الطامة الكبرى كاين لي معندوا حتى فكرة يدافع عليها و هاضر المهم هو يزيد الصداع,0
يا ربي تغفر ليه,1
مبروك لمصر اللقب قبل أن تلعب البطولة يستاهلوا إخواننا المصريين,1
دير لي بغات تصرف غير مقبول من رجل تعليم,0
ها علاش إخواننا المصريين يقولون الله على أخلاقك يا فخر العرب,1
أنا ما رجاوي ما ودادي أنا كنموت على ليفربول لكن مقارنتي الشخصية كنقول اليوم أفضل من مباراة الخميس,1
عندك الصح الجمهور كيعمل الضغط,1
أحسن ديربي تفرجت فيه لن انظر إلى النتيجة نقطة سوداء البطاقتين الحمراوين برافو الرجاء برافو الوداد عامين متفرجت في الديربي لكن هاد المرة تفرجت و عجبني الحال للمعلومة مباراة اليوم أفضل مباراة السيتي و ليفربول,1
مصطلح وقحة مخاصوش يتقال بنت مزال كتبان عندها او سنة مزال طائشة ممكن أتفق لكن وقحة لا أتفق تماما,0
سمحي ليا هي قلات الأدب هو مول العقل هي مراهقة كاين طرق أخرى,0
كان كتمارس عليه سلطة القمع و التحقير و ملي توضف بغا يفرخ المكبوثات ديالو في التعليم,0
من عندي أنا غا توصل إن شاء الله,1
سياسة الترقاع ستظل بهم في القاع,0
أصعب هو تبقا في بلادك حاصل متعرف ما دير,0
الله يبارك فيك,1
آمييين يا ربي,1
العام الجديد باين العربون كيف غا يكون بدا بمشكل في الأنترنيت,0
باقي زوفري الحمد لله و افتخر,1
بالصحة لي غا ياكلها,1
أحسن ماتش ليفربول ضد بايرن ميونخ بزوجهم كيلعبوا كرة,1
الظلم هذا و الله إلى غي كايخربقو,0
اسمح لي ان لم تكن ذو شهادات فلا عمل لك عند الغرب و عند العرب لا عمل لك سواء بها او بدونها,0
واخا معرفش شحال عندك في عمر غا نقول ليك شرفتي المهم كانضحك معاك,1
على هاد الفعلة بلوك و قليلة في حقك,0
جميع المغاربة عارفين هاد الهضرة لكن كلشي ساكت شخصيا ركبت في تران ديال المغرب مرة وحدة و كان الروطار ساعتين و أنا كنتشمش في المحمدية كن ضربتها رجل كون وصلت حلفت لا ركبت فيهم مزال,0
مجلس الكونغرس غادي يفرض عقوبات كبيرة على السعودية,0
كوفي عنان الله يرحموا مسكين,1
لاش كتكبر لاش هضر معانا بالدارجة,0
متشرفين أخي العزيز كنت درتي المدرسة الفلاحية لا,1
ما أجمل أنك تقول ليا اشنو خدمتك بالرجولة درني راسي,1
فين الزردة ولا الحلوة,1
قلب واحد هو قلب الواليدة,1
عرفتي ملي شفت جواب شبعت ضحك,1
ترحب بيك الجنة,1
لا و الله حتى بزاف نهار زين هذا تصبح على هاد الفيديو,1
صراحة الانتقام لكن إذا تم الإعتذار فالمسامحة افضل,1
الواحد هو لي يشكر راسو صباح العز و الفخامة,1
شي أغاني أول مرة كنشوفهم راه كارثة,0
الحمدلله مهارتي هي منخاف من حتى حاجة إلا من الله و أنا لست عبدا للعبيد ثانيا الوفاء في الصداقة صديقي اذا احتاجني اعطيته قلبي و أؤمن بأن الرجال مواقف و ليس كلام نسوان,1
الله يهدي ما خلق,0
أحسن تقرير شفتوا على الأزمة التركية,1
شعور سيء أن تكتشف مؤخرا أنك تعاملت دائما مع الأشباه أشباه الأحباء أشباه الأصدقاء لا شيء حقيقي وثابت في حياتك إلى الآن,0
صراحة أحسن فيلم تفرجت فيه فكاهة رائع و حتى القصة أروع أستاذة فاطمة علي بوبكدي هرم الاخراج المغربي,1
ولاد الناس,1
ملي تشوف هاد التصرفات عرف الجهل مزال في المغرب,0
الله يوصلك على خير,1
أفضل شيء وقع ليا في هاد الدنيا هي أنني معنديش فالعائلة شي واحد في فرنسا للمعلومة الفرق بين فرنسا و المغريب هو اورو لا غير,1
وماتنساوش تشكرو هاد ناس لديما عاتقين الموقف باش مانتحرموش من الفراجة شكرا,1
هاد التخلف اش هاد الافكار الرجعية لنرتقي القاع مزدحم,0
بزاف د الحب ,1
أول مرة كيموت لي واحد الإنسان كنعرفو غا من خلال النت إنسان عرفتو و عرفناه بالتغريدات و الرسائل ديالو إحساس مرون و مخربق و جديد عليا أنا شخصيا نتمناو ليه الرحمة و كنتمناو الصبر للعائلة ديالو الحياة قصيرة عيشوها فرحانين بالبساطة لي فيها و بزاف ديال الحب ,1
احسن حاجة درتيها حيتاش الضو ديال الشاشات قاسح على العينين خصوصا بالليل,1
هكاك مزيان بعدا,1
اش هاد الوقاحة ,0
واخا مداير حتى ذنب المرض كايكون ابتلاء كيغفر الله فيه الخطايا السابقة واللاحقة طهورا إن شاء الله,1
مايكون معاك باس اخويا,1
تصبح على خير اخويا,1
باقي كيدوي هذاك مابينو وبين تدريب غير السمية,0
مرحبا اخويا,1
هذا مزال ماتفرجت فيه العز ,1
بعض التفاصيل صغير اللي شادة ليا الدماغ صافي,1
القرى الجبلية هيا اللي فيها مايتشاف,1
صباح النور خويا,1
اللهم أمين الله يرحموا ويوسع,1
بنادم اضحك فكلشي حتى الموت والتلاعب في المشاعر ديال الناس,0
الله يرحمو ويوسع عليه إنا لله وإنا إليه راجعون,1
فعلا ايام كانت زوينة,1
 سعداتك,1
المدرب دار خطأ فاش دخل سانشيز عوض لوكاكو,0
صباح أخي محمد نهار مبرووك,1
العياقة ديال والو,0
تفرجي فيه قصة فشكل,1
بزاف هاد الفيلم,1
والصداع من الفوق حتى الليل حتى تبان ليهم الهضرة او مايسكتوش,0
اللهم أمين اخويا,1
انا مسامح ليها,1
بصحة والراحة,1
وييه اخويا فيما قلبتي وجهك كتلقى غير الحضيض,0
الله يخليها ليك,1
المجرم اللي نهار او مطال ونتا كتقلب عليه هاهو كيلعب فالجردة,0
الله يعزك اخويا محمد,1
اكادير مابقا فيها مايتشاف,0
بنادم معندوش الوجه,0
تعطي لبنادم الماكلة وزايدها بالتعياب,0
تفرجي ف ا لدار مكاين ماحسن,1
بلا ماتمشي غادي إنوص غالصداع الحجر غادي إنوض عاوتاني,0
العفو مع هاد القوم,0
اكبر عصابة في أمريكا هما شركات التأمين راه ارباحهم خرافية,0
الفساد خرج على هاد البلاد,0
مايكون معاك باس,1
يلا قلنا غادي اسالي هاد الشهر بدون مشاكل ولافضائح خرجات لينا إنفلونزا الخنازير و فضيحة بنت طهور من جنب,0
الله يشافيها,1
الله ياخذ فيهم الحق,0
ويجي شي واحد يقولك فرنسا دولة ديمقراطية وهي من أكبر الدول عنصرية وقتل في التاريخ,0
واش كاين ذل كثر من هذا,0
هذا عندو شي عقل ,0
الرمضاني وحلات ليه الهضرة,0
الله يعفو على الجميع,1
تفكرت ايام الزمن الجميل,1
صباح نور راه عرفت يا استاذ غير يلاه جابتها الظرووف باش ندوي عليها,1
هادي كاينة عندك,1
وقيلا السخانة هاديك بالشفاء إن شاء الله,1
بركان كيقدم مبارة جيدة بالتوفيق ليهم,1
كانت أيام زوينة,1
عدم تواجد نافاس وكورتوا سيعرض الريال لهزيمة ساحقة,0
هذا عام الإصابات للريال من بعد بنزيمة هاهو نافاس تابعو,0
وييه اخويا الله يكون فالعون,1
كيقلب على والديهم ماشي حبا فيهم انما باش اعرف اش دار لبهم فاش لاحوه في الزنقة,0
اذا كان خائف فله ان يستقيل من منصبه,0
العثماني ليس لديه الجرأة لقول لا,0
الشعب عارف شكون اللي دار هاشي العثماني معندوش الجراءة باش يهظر ويفترك الزمر كلو,0
رونو كيخلصوا للعاملين درهم وبغاو يتحكمو في شعب بأكملو,0
وانت مال أهلك,0
ناري علا شوفات بحال القرطاس,0
الله يرحمو ويصبركم على مابتلاكم وإنا لله وإنا اليه راجعون,1
وسبب الإنتفاخ مايكون غير التعذيب الجسدي اللي كيتمارس عليه,0
هادي قافية واعرة,1
التقارير ديال والو,0
هناك العديد من الأفلام لكن الذي صدمني أكثر هو شعوري عند مشاهدة الفيلم لا أعرف كيف اصفه لحد الأن,0
واش هادو مكايناش في قلوبهم الرحمة,0
اوا مبارك اومسعود,1
هضرة خاوية فيناهما فلوس الفوسفاط فيناهما فلوس الذهب ديال منجم اقا فيناهما فلوس الضرائب اللي ستثمرتو في إفريقيا فينهوما فلوس القصر هلكتونا ضرائب في المواد الإستهلاكية في الأدوية في البنزين هانت كل شيء العاصفة التي تعصف بكم وبالجميع قد اقت,0
طيبتونا بالشفاوي,0
ولد الحرام ,0
باعوا أنفسم بحفنة من المال والجنس,0
الله يرحمو,1
مبرووك للمنتخب البلجيكي كيستحقوا الفوز,1
ربي واش مكتحشموس يا إعلام العار,0
الضحك اللي تدار على السعودية غادي نهجروه غدا,0
 إدير الله اللي فيها الخير,1
اودي راه الفقصة,0
الله يلعنها بوها قاعدة فيك ارونار,0
ماشعرت حتى سبيتو عصبني ,0
عواشر مبروكة اخويا يونس,1
هادي واعرة ,1
طريقة الكلام ديالو بحال ديال العاهرات,0
الله يوفقها ويوفق الجميع,1
باش تعرفي الغباء نتاع المسؤولين دياولنا السيد مافاهام والو وتيبغي إشرح باز حاشي صنتيحتو صحة,0
الحكومة مبغاتش تتنازل حتى حنا مغاديش نتنازلوا والأيام بينتنا,0
غير بغا يلعب معاك ,1
وحنا مالنا إيديروه بالطريقة البوذية و اليهودية مواضيع تافهة بحالكم,0
صدمني زيدان هاد النهار اش بغا عندي,0
صدام الله يرحمه كان الجدار العظيم اللي صد إيران الأن إيران تمرح في الخليج بدون حسيب ولا رقيب,1
مشات الرجولة,0
ديال جودة هاديك ياحسرتاه,0
مغاديش نتافقو معاكم,0
ماشي لخاطرك راه راك عايش في المغرب,0
اش غادي نقول ليك غير الله يلعن اللي مايحشم كتدافع على شركة فرنسية والشعب المقهور المطحون مهاز ليه كاع الهم,0
هاديك شروط تعجيزية باش المغرب ماينظمش كأس العالم,0
بصحة و الراحة ياعقيد,1
الوعي مكاينش عند المعظم إلا القلة القليلة وخا إكون الإنسان مثقق ولكن كتبادر منو تصرفات غير طبيعية,0
حسن نيت ,1
إقدر داك الشخص كان ناقص حنان لفقدان الأم ديالو من صغرو ولقاه في الزوجة داكشي علاش كيعاملها بلطف شديد او أنها يتيمة وكيحاول ميجرحهاش,1
بعتو الدين بعرض الدنيا نوض تشلل,0
اللي شاديين قسم الإشهار لا علاقة,0
على قلة الإبداع,0
اودي السلامة صافي هادشي من علامات الساعة,0
اه عندك الصح,1
الله يرزقنا شي وحدة بحال خديجة,1
ناويين المعقول مثلا ,1
وي وي على الرومانسية,1
كيغمقوا علينا بديك الجهوية الموسعة وكيخدوا للصحراء تلفلوس الصحاح,0
وكاين اللي غادي يعطيك باش يبقا يعايرك بها قدام عباد الله,0
شوف من ولينا عايشين اشباه الرجال حتى واحد ماقدر يتحرك,0
صباح الخير أباشا اش خبارك هاني مهني,1
وييه نعلق من هنا قبل ماتفسد الاخلاق نتاعي ,0
داكشي اللي بغينا,1
إلا بغاو ليك الخير يامرحبا ونتا تأكد تاخذ منهم الحاجة الزويينة,1
معندي مشكل معا حد غير الإنسان إتستتر,1
مشية بلا رجعة,0
من نيتكم يتم إستنزاف المياه الجوفية لزراعة البطيخ و الطماطم لابد من هذه الزراعات أن تلغى,0
غادي يجي اللي غتدي اطنز عليهم ويندمو في الأخير,0
اودي في فترة الخطوبة كل واحد كيبغي يبان بأنه مثالي داكشي علاش مخصهاش تكون معيار,0
هذا مايكون غير داك العفيريت ديال الجن العاشق,1
نهاية الموسل الاول صدمتني وهوأكثر مسلسل أخذت منو صدمات,0
لا حبيبي انا اللي راح اعلمك,1
حبيبي انت فهمتها كما تريد لكن معناها ظاهر للعيان,1
عيدك مبارك أخي خالد,1
 ممكن أتفق معك,1
 ريالي حتى النخاع,1
اييه يا زمن نوكيا كنت تشحنها تنساه أسبوع,1
