target,text
1,قاتل وكيضحك يسحب راسو فلت منها مخزن عندنا يجيبوك يجيبوك له يعز امن
0,قوادين  داعرات  ابناا حرام  شعب مغربي
0,هدو هومان les 7amrocains ملكه براتيش
0,هداك خاص اكلوليه كافر ماشي مسلم عجبو فيها صدر كبير
0,ملي نتا عارفو مبلي ماتشريلوش دار مي سكنوا معاك  تبع معاه راقبوا يا راس بصله حشم
1,باك هوا لكبرك ماشي لولدك
1,نوفل اخي ميهمكش بشر واله ودير لي درتي بشر يهضر يهضر
1,عيش مزيان بفضل صدر وجد روحك تمشي تشوف صحابك قوم لوط  بقيت عل هدا حال
0,برنامج حامض فحال براهش
0,دخلنا تفرجو تلقاو سعايه باسم فلسطنين مخلاو حتى مكان شوهو بفلسطين  كان معندها رجال
0,لي جاه هدشي حامض راه حيت مفيهش هضره خايبه  ميتفرج  هنينا  باين كيعجبو ضحك ديال ولد شينويه يمشي يدير ليه شي زياره في حبس
0,تبرهيش هادشي كلو حامض
1,طاليس احسن مقدم والبرنامج زوين
0,جايبين بطل عالمي بعقلو  ما كيعرفش تفليه  ضياع وقت لهاد لحموضه ديالكم . جيبو بعدا غي شي واحد مسالي قبو .
0,دادوديه قاريه صحافه 😂😂😂
0,مابقاش تقول حاجه اولدي حاجات 😂😂😂😂😂
0,🤣🤣🤣🤣
0,😂😂😂😂😂😂🙈
0,جزااري مراى من هونا 😂😂😂😂
0,مرحاض  تايلندا افريقيا  ملكه نجس شريفه 😂😂😂
0,شوفو تاع كلاب راسك يحبس 😂😂😂😂
0,🤣🤣🤣🤣🤣🤣🤣🤣🤣 بلاد دينمها تجيبلك 🤮🤮🤮
0,اويلي عياشه متطورين بسنين ضوايه عن باقي عرب 😂😂😂😂😂😮😮😮😮
0,Taz a3la had cha3b nta3 el mounafikin Muslim 😂😂😂
0,انا 😂😂😂😂
0,هه سالات معايا فاش قالت متحولين خارجين شويا على دين  انا حمدله متدينه 😂😂😂😂😂😂😂😂😂 له يقوي ايمانك 😂😂
1,وحق رب معندهم عقل 😂😂😂😂😂😂😂😂😂😂😂 وديع كيضحكني بهادك صوت غليض
1,😅😅😅😅
0,😂😂😂😂
0,حموضه 🤮🤮🤮🤮🤮
0,كوميديا شو ديال له يحسن عوان 😂😂😂😂
0,😂😂😂😂😂😂😂
1,هجومات مقبول بغينا نشفوه اكثر 😂😂❤❤
0,حموضه 😂😂😂😂
0,كتبيعوا عجل
0,مكنصحش لبنات يجيو هنا غير لي عندها شي لغه ودبلوم غير هك مكينش خدم كولشي غير قحاب
0,وسخين واله ما عندهم كراما
0,انا وراجلي قرينا في مانيا وخدامين عاد قدرنا نشريو في مغرب بلا ربا وفي مغرب مقارينش وشارين ڤيلات والطوموبيلات هامنين هادشي جاي كيبقاو يفشرو له يطعمنا حلالا طيبا
1,يارب توفقني نحق حلم ديالي انضم  صفوف امن يارب
0,هادا خاصو يتهرس من يدو بجوج باش ناس تسلم من شرو هاد ليهودي
0,انت وكل من عيونك في جهنم ان شاا له
1,حمدي له نت حره كين لي محبوس ومابغيش يهرب وصابر له يعطينا صبر فوق صبر
0,لي باغي يتصاحب مع دريه اروبيه وتبغيه مرحبا بيه درت فيديو كن شرح فيه كفاش تصاحب معها وفين تلقاها ما عليك ها تورك على تصورت ديب ودخل تفرج 🇨🇵🇨🇵
0,شوهتو بالمغرب له يخد فيكم حق
0,واله عياشي اتعجب منكم تفتخرين بي جنسيتكم وا تهجمون على اسيادكم انت اختك لم تحكم فيها
0,سكس فالمغرب مع مغربيات بز من امكم فالمغرب
1,كايعجبني نسمع صوتها واله اطيب مرا باينه فيها
1,واشدسيري فحالك كوني بعزك . هما بغاوا بعضياتهم
1,هو غنالها وقالها مي ليدي كنت ميت وحيتيني واش هيا قاتلو غني عليا   !  ! نعلي شيطان وخلي عندك كرامه  باعك بيعيه عمري
1,عمري دليتي نفسك من طلعتي تشوهي صوره امال وتشكري راجلك هو بغاها ونتي له يسهل عليك
1,كل شيا قدر ومكتوب بامر من له
0,كن حركتي مجامر كل دفعتي على بيتك . فقيها صحيح ديك منيكا ربي يمهل ولا يهمل
0,راه حتى راجلك محلول حيت كون مدتوش هديك غتديه شي سلكوطا اخرى .
0,قدرتي صرفي ٧لى ولادك من فلويك حيت فلوس فن تاعو حرام تصدقي بيهم  واله يرزقك
0,علاش هاد عنوان مستفز تستاظفو شاب بلال ومنبعد تكتبو والده متشرد لمادا هاد وصف والتجريح قناه عهر والنفاق
1,قلك من غناا ولي ربي حرام ودنيا فانيا له يهديك نتا وابوك امين
1,بارك له فيك يا بلال
1,راك راجل  اخي بلال  تحيا مغربيه
1,حمد له لي عرفت باباك كي داير كاين ناس متعرفش باباه شكون .. مع لوقت توالف باباك
1,انت ومالك لابيك
1,كنتمنا تكون راجل وكلشي يبغيك
0,يا ويحك مع له . خماج  كنت راجل  دخلت فالخس
1,هاهي  نمرتي  مكرهتكش  تعونيني . نتي  بنت  خير
1,ولد ناس تبارك له عليه يستاهل كل خير 🫡💌🙏🙏🙏🙏🙏🙏🙏 وشكرا على برنامج قتلني بالضحك
1,حمد له عشنا في دار وحده مابقيتش شفتو
1,شكرا  2m على هاد  برنامج  شكرا لدراري واعرين . ضحكت من قلبي
0,عصابه حمزه مون بيبي في حله جديده باسم رضى مول دبي  وافينكم يا امهات لتصيفطو بناتكم لامارات هانتوما سمعو بغايتو ثراا ها فضيحه بعينيها  ياربي تعفو
0,انا لبناني اطالب من جلاله ملك محمد سادس اطال له في عمره بحبس ابن شنويه مابد في سجن
1,زينه له يبارك عينيها جدابه ربي يرزقنا بالي يسترها ويحسها بالامان 👍👍👍👍👍👏👏👏👏
0,عالم .. فاضي .. قمه . تفاهات ..
1,منجم  فلكي  حاج  بالحاج  يتنبا  بفوز  حزب  تجمع  وطني  لاحرار
0,لو كانت عندي سلطه لاغلقت قناه شوف تيفي  ارسلت كل طاقمها  سجن
0,عهر والفسق والفساد في كل مكان لاسف ..
1,حفدک بلال زعيم من بكري ولد حومتي ربي يوفقک
1,رجل محترم محال يغبن باباه والناس يربي يهديها
1,يا ربي يهديك ويتوب عليك ويغفر لك ويهبك حسن خاتمه وتموت وانت نوفل لان فعلا اول مره اسمع منك كلام جد راقي ولدلك يا رب يغفر لك
1,😍💚 كل من عليها فان ويبقى وجه ربك دو جلال  اكرام 😊✨
0,شواد لا یفكرون  فی جنس مثل حیوان والبهاٸم  جنود ابلیس  لمادا تعلنون علانيۃ انكم شواد
1,حمد له يارب
1,لحمد له
1,له يحفظك اختي عبير
0,عيب
0,له امسخكوم
1,اسعد له قلبك
1,له ينصرك
0,له ياخد فيها حق
0,له يدلك
0,قناه دعاره
1,بقالي واعر تبارك له اهليه
